episode_id,date,period,size_bytes,avg_score,min_score,sum_score,team0,team1,winner,outcome_type,first_player,n_steps,final_turn_p0,final_turn_p1,deck0_hash,deck1_hash,deck0_ncards,deck1_ncards,deck0_source,deck1_source
80210515,2026-06-16,EARLY,383581,628.309278,525.763737,1256.618557,Nozprod,CIARANA,0,DECISIVE,1,22,6,5,da2a64c2ecaab66a,93368b4d03b08e0c,60,60,action,action
80231786,2026-06-16,EARLY,728420,707.674672,635.609748,1415.349343,heart_mugi,pztriatomic,0,DECISIVE,0,38,7,6,da2a64c2ecaab66a,da2a64c2ecaab66a,60,60,action,action
80193250,2026-06-16,EARLY,472108,619.012083,541.773109,1238.024166,すーぱーひとで,okayu777,1,DECISIVE,1,25,4,5,da2a64c2ecaab66a,da2a64c2ecaab66a,60,60,action,action
80231787,2026-06-16,EARLY,3150828,641.059213,601.661170,1282.118427,Halcy8312,Kentaro Hirose,1,DECISIVE,0,114,13,14,7cfd71da7a1b4922,e68d950bf2ff5f6d,60,60,action,action
80215279,2026-06-16,EARLY,3085026,733.819056,632.914081,1467.638112,islet,Chikuwabu,0,DECISIVE,0,121,11,10,6c534f1524e51c74,ce6d9d7c5d4624a8,60,60,action,action
80194016,2026-06-16,EARLY,4338668,831.249949,776.849745,1662.499899,Quan Nguyen,monst_dama,0,DECISIVE,0,162,13,12,6c534f1524e51c74,3b336973fe7b01c6,60,60,action,action
80202844,2026-06-16,EARLY,1900460,611.777027,530.400900,1223.554055,CIARANA,RyotaroAbe,1,DECISIVE,0,83,15,16,da2a64c2ecaab66a,da2a64c2ecaab66a,60,60,action,action
80188332,2026-06-16,EARLY,463744,624.086737,519.857152,1248.173473,Egor Tkachenko,kenn,0,DECISIVE,0,27,5,4,da2a64c2ecaab66a,f8b449845c901957,60,60,action,action
80212602,2026-06-16,EARLY,281833,501.493756,437.589759,1002.987512,Tahsin Arafat,k_tomo,1,DECISIVE,0,17,3,4,772c7a44c066b794,d9fb0077fa70965d,60,60,action,action
80201153,2026-06-16,EARLY,494535,459.657923,395.747209,919.315845,[RU] Nikita Kuznetsov,platypus2000jp,1,DECISIVE,1,26,2,3,da2a64c2ecaab66a,59138a345c6b933a,60,60,action,action
