episode_id,serial,first_turn,first_energy_turn,reached_drakloak,reached_dragapult_ex,last_turn_seen,last_id_seen,last_hp_seen,disappeared_early_ko,vanished_unclear,energy_stranded_pre_ex
92638893,63,2,2,False,False,4,119,70,False,True,True
92638893,66,2,,False,False,4,119,70,False,True,False
92638893,73,4,6,False,True,14,121,50,False,False,False
92638893,69,4,4,True,False,8,120,90,False,True,True
92638893,65,6,,False,False,8,119,70,False,True,False
92638893,70,8,8,True,False,10,120,90,False,True,True
92638893,72,10,10,False,True,14,121,320,False,False,False
92639822,63,2,2,False,False,4,119,70,False,True,True
92639822,66,2,2,False,False,4,119,70,False,True,True
92639822,70,4,4,True,False,6,120,90,False,True,True
92639822,64,4,4,False,False,6,119,70,False,True,True
92639822,71,4,4,False,True,12,121,60,False,False,False
92639822,73,6,8,False,True,10,121,320,False,True,False
92639822,65,6,,False,False,8,119,70,False,True,False
92639822,68,6,6,True,False,12,120,90,False,False,False
92639822,69,8,,True,False,12,120,90,False,False,False
92640795,3,1,1,False,False,3,119,70,False,True,True
92640795,10,3,3,True,False,11,120,90,False,True,True
92640795,4,3,,False,False,5,119,70,False,True,False
92640795,6,3,,False,False,5,119,70,False,True,False
92640795,8,5,,True,False,5,120,90,False,True,False
92640795,5,5,5,False,False,7,119,70,False,True,True
92640795,11,7,7,False,True,13,121,50,False,False,False
92640795,12,11,11,False,True,13,121,320,False,False,False
92641741,5,1,,False,False,3,119,60,False,True,False
92641741,6,1,,False,False,3,119,70,False,True,False
92641741,3,1,,False,False,3,119,70,False,True,False
92641741,11,3,9,False,True,11,121,150,False,True,False
92641741,4,3,3,False,False,5,119,70,False,True,True
92641741,8,3,,True,False,5,120,90,False,True,False
92641741,9,3,11,True,False,15,120,90,False,False,False
92641741,13,5,5,False,True,15,121,320,False,False,False
92641741,7,5,5,True,False,15,120,90,False,False,False
92642676,5,1,1,False,False,3,119,70,False,True,True
92642676,6,1,,False,False,3,119,70,False,True,False
92642676,9,3,3,True,False,5,120,70,False,True,True
92642676,7,3,,True,False,5,120,90,False,True,False
92642676,13,5,5,False,True,9,121,120,False,False,False
92642676,3,5,5,False,False,9,119,20,False,False,False
92642676,4,9,,False,False,9,119,70,False,False,False
92642676,8,9,9,True,False,9,120,40,False,False,False
92643618,65,4,4,False,False,6,119,70,False,True,True
92643618,63,6,8,False,False,8,119,70,False,True,True
92643618,67,6,6,True,False,6,120,90,False,True,True
92644563,3,1,1,False,False,3,119,70,False,True,True
92644563,4,3,,False,False,5,119,70,False,True,False
92644563,8,3,3,True,False,5,120,90,False,True,True
92644563,6,5,5,False,False,7,119,70,False,True,True
92644563,5,5,,False,False,9,119,70,False,True,False
92644563,10,5,,True,False,7,120,90,False,True,False
92644563,13,5,5,False,True,13,121,30,False,False,False
92644563,12,7,7,False,True,11,121,190,False,True,False
92644563,7,7,7,True,False,13,120,90,False,False,False
92644563,9,9,,True,False,13,120,90,False,False,False
92645508,63,2,,False,False,4,119,70,False,True,False
92645508,64,2,,False,False,4,119,70,False,True,False
92645508,66,2,,False,False,4,119,70,False,True,False
92645508,70,4,,True,False,4,120,90,False,True,False
92645508,69,4,4,True,False,6,120,90,False,True,True
92645508,68,4,,True,False,6,120,90,False,True,False
92645508,71,6,6,False,True,8,121,50,False,True,False
92645508,72,6,6,False,True,10,121,320,False,False,False
92646459,66,2,,False,False,10,119,20,False,False,False
92646459,63,2,2,False,False,4,119,70,False,True,True
92646459,65,2,,False,False,4,119,70,False,True,False
92646459,64,2,,False,False,4,119,70,False,True,False
92646459,69,4,4,True,False,10,120,90,False,False,False
92646459,67,4,,True,False,6,120,90,False,True,False
92646459,73,4,4,False,True,6,121,200,False,True,False
