episode_id,turn,step,decision_index,state_id,select_context,select_context_name,n_available_actions,available_action_types,chosen_action,chosen_action_types,category,next_state,game_result,our_active_id_before,our_active_hp_before,opp_active_id_before,opp_active_hp_before,our_prize_before,opp_prize_before,log_duration_s,log_stdout_nonempty,log_stderr_nonempty,agent_log_match,observation_match,visibility
92158945,,0,0,92158945:-1,,,0,{},[],,UNKNOWN,92158945:0,WIN,,,,,,,0.193387,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,,1,1,92158945:0,,,0,{},"[119, 119, 119, 119, 120, 120, 120, 120, 121, 121, 121, 140, 184, 235, 235, 1071, 1079, 1079, 1080, 1086, 1086, 1086, 1086, 1097, 1097, 1120, 1120, 1120, 1120, 1121, 1121, 1121, 1121, 1152, 1152, 1152, 1156, 1182, 1182, 1182, 1198, 1198, 1198, 1198, 1210, 1210, 1227, 1227, 1227, 1227, 1256, 1256, 2, 2, 2, 2, 5, 5, 5, 5]",,UNKNOWN,92158945:1,WIN,,,,,,,0.001635,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,0.0,2,2,92158945:1,41.0,IS_FIRST,2,"{""YES"": 1, ""NO"": 1}",[0],YES,GOING_FIRST_SECOND,92158945:2,WIN,,,,,0.0,0.0,0.001632,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,0.0,4,3,92158945:3,1.0,SETUP_ACTIVE_POKEMON,1,"{""CARD"": 1}",[],,EARLY_GAME_SETUP,92158945:4,WIN,,,,,0.0,0.0,0.001059,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,5,4,92158945:4,0.0,MAIN,4,"{""PLAY"": 3, ""END"": 1}",[0],PLAY,RESOURCE_MANAGEMENT,92158945:5,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.001263,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,6,5,92158945:5,5.0,TO_BENCH,4,"{""CARD"": 4}","[1, 2]","CARD,CARD",BENCH_MANAGEMENT,92158945:6,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.000811,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,7,6,92158945:6,0.0,MAIN,3,"{""PLAY"": 2, ""END"": 1}",[0],PLAY,RESOURCE_MANAGEMENT,92158945:7,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.001587,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,8,7,92158945:7,7.0,TO_HAND,5,"{""CARD"": 5}",[1],CARD,RESOURCE_MANAGEMENT,92158945:8,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.000922,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,9,8,92158945:8,0.0,MAIN,3,"{""PLAY"": 2, ""END"": 1}",[1],PLAY,RESOURCE_MANAGEMENT,92158945:9,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.000992,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,1.0,19,9,92158945:18,0.0,MAIN,2,"{""PLAY"": 1, ""END"": 1}",[],,TIMING,92158945:19,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.001339,False,False,YES,EXACT,VISIBLE_TO_AGENT
92158945,3.0,20,10,92158945:19,0.0,MAIN,6,"{""PLAY"": 2, ""EVOLVE"": 3, ""END"": 1}",[2],EVOLVE,BENCH_MANAGEMENT,92158945:20,WIN,119.0,70.0,414.0,120.0,6.0,6.0,0.001526,False,False,YES,EXACT,VISIBLE_TO_AGENT
