decision_day,chosen_win_rate,best_deployable_win_rate,regret,strategy
2026-06-20,0.2917,0.2917,0.0,A_most_popular
2026-06-21,0.4545,0.4545,0.0,A_most_popular
2026-06-23,0.5882,0.5882,0.0,A_most_popular
2026-06-24,0.4,0.4,0.0,A_most_popular
2026-06-26,0.5,0.5,0.0,A_most_popular
2026-07-02,0.75,0.3333,-0.4167,A_most_popular
2026-07-05,1.0,0.5385,-0.4615,A_most_popular
2026-07-07,0.1667,0.5417,0.375,A_most_popular
2026-07-08,0.4848,0.5882,0.10339999999999994,A_most_popular
2026-07-09,0.35,0.6364,0.2864,A_most_popular
2026-07-10,0.5,0.6667,0.16669999999999996,A_most_popular
2026-07-11,0.5625,0.5625,0.0,A_most_popular
2026-07-12,0.4375,0.8,0.36250000000000004,A_most_popular
2026-07-13,0.4909,0.5556,0.06469999999999998,A_most_popular
2026-07-14,0.4478,0.619,0.17120000000000002,A_most_popular
2026-07-15,0.4706,0.48,0.009399999999999964,A_most_popular
2026-07-16,0.4103,0.4583,0.04799999999999999,A_most_popular
2026-07-17,0.4355,0.5417,0.10619999999999996,A_most_popular
2026-07-18,0.4359,0.7,0.26409999999999995,A_most_popular
2026-07-19,0.4138,0.7895,0.3757,A_most_popular
2026-07-20,0.4318,0.6364,0.20459999999999995,A_most_popular
2026-07-21,0.4259,0.75,0.3241,A_most_popular
2026-07-22,0.4565,0.625,0.16849999999999998,A_most_popular
2026-07-23,0.5185,0.5238,0.005300000000000082,A_most_popular
2026-07-24,0.375,0.9333,0.5583,A_most_popular
2026-07-25,0.4815,0.6429,0.16140000000000004,A_most_popular
2026-07-26,0.439,0.551,0.11200000000000004,A_most_popular
2026-07-27,0.4359,0.7,0.26409999999999995,A_most_popular
2026-07-28,0.5397,0.5714,0.03170000000000006,A_most_popular
2026-07-29,0.5254,0.5833,0.05790000000000006,A_most_popular
2026-07-30,0.5191,0.5625,0.043399999999999994,A_most_popular
2026-07-31,0.514,0.514,0.0,A_most_popular
2026-08-01,0.4796,0.5,0.020399999999999974,A_most_popular
2026-08-02,0.4405,0.72,0.27949999999999997,A_most_popular
2026-08-03,0.4627,0.6957,0.23299999999999998,A_most_popular
2026-08-04,0.4426,0.7857,0.34309999999999996,A_most_popular
2026-08-05,0.4333,0.5652,0.13190000000000002,A_most_popular
2026-08-06,0.4429,0.7222,0.27929999999999994,A_most_popular
2026-08-07,0.4407,0.7273,0.28659999999999997,A_most_popular
2026-08-08,0.3846,0.7222,0.33759999999999996,A_most_popular
2026-08-09,0.4167,0.5385,0.12179999999999996,A_most_popular
2026-08-10,0.4138,0.65,0.23620000000000002,A_most_popular
2026-06-20,0.2917,0.2917,0.0,B_recent_wr
2026-06-21,0.4545,0.4545,0.0,B_recent_wr
2026-06-23,0.5882,0.5882,0.0,B_recent_wr
2026-06-24,0.4,0.4,0.0,B_recent_wr
2026-06-26,0.5,0.5,0.0,B_recent_wr
2026-06-30,0.4,0.5,0.09999999999999998,B_recent_wr
2026-07-02,0.2,0.3333,0.13329999999999997,B_recent_wr
2026-07-05,0.5385,0.5385,0.0,B_recent_wr
2026-07-06,0.625,0.625,0.0,B_recent_wr
2026-07-07,0.3571,0.5417,0.1846,B_recent_wr
2026-07-08,0.4848,0.5882,0.10339999999999994,B_recent_wr
2026-07-09,0.6364,0.6364,0.0,B_recent_wr
2026-07-10,0.6667,0.6667,0.0,B_recent_wr
2026-07-11,0.3871,0.5625,0.1754,B_recent_wr
2026-07-12,0.4643,0.8,0.33570000000000005,B_recent_wr
2026-07-13,0.5,0.5556,0.05559999999999998,B_recent_wr
2026-07-16,0.5,0.4583,-0.041700000000000015,B_recent_wr
2026-07-17,0.4,0.5417,0.14169999999999994,B_recent_wr
2026-07-18,0.8,0.7,-0.10000000000000009,B_recent_wr
2026-07-19,0.5,0.7895,0.2895,B_recent_wr
2026-07-20,0.4,0.6364,0.23639999999999994,B_recent_wr
2026-07-21,0.75,0.75,0.0,B_recent_wr
2026-07-22,0.5,0.625,0.125,B_recent_wr
2026-07-23,0.6,0.5238,-0.07619999999999993,B_recent_wr
2026-07-24,0.75,0.9333,0.18330000000000002,B_recent_wr
2026-07-25,1.0,0.6429,-0.3571,B_recent_wr
2026-07-26,0.4167,0.551,0.13430000000000003,B_recent_wr
2026-07-27,0.5,0.7,0.19999999999999996,B_recent_wr
2026-07-28,0.5,0.5714,0.07140000000000002,B_recent_wr
2026-07-29,0.0,0.5833,0.5833,B_recent_wr
2026-07-30,0.5,0.5625,0.0625,B_recent_wr
2026-07-31,0.3333,0.514,0.18070000000000003,B_recent_wr
2026-08-01,0.75,0.5,-0.25,B_recent_wr
2026-08-02,0.4444,0.72,0.27559999999999996,B_recent_wr
2026-08-03,0.5143,0.6957,0.1814,B_recent_wr
2026-08-04,0.6129,0.7857,0.17279999999999995,B_recent_wr
2026-08-05,0.5455,0.5652,0.01970000000000005,B_recent_wr
2026-08-06,0.5625,0.7222,0.15969999999999995,B_recent_wr
2026-08-07,0.625,0.7273,0.10229999999999995,B_recent_wr
2026-08-08,0.7222,0.7222,0.0,B_recent_wr
2026-08-09,0.4167,0.5385,0.12179999999999996,B_recent_wr
2026-08-10,0.8,0.65,-0.15000000000000002,B_recent_wr
2026-06-20,0.2917,0.2917,0.0,C_conservative_meta_aware
2026-06-21,0.4545,0.4545,0.0,C_conservative_meta_aware
2026-06-23,0.5882,0.5882,0.0,C_conservative_meta_aware
2026-06-24,0.4,0.4,0.0,C_conservative_meta_aware
2026-06-26,0.5,0.5,0.0,C_conservative_meta_aware
2026-06-30,0.4,0.5,0.09999999999999998,C_conservative_meta_aware
2026-07-02,0.3333,0.3333,0.0,C_conservative_meta_aware
2026-07-05,0.5385,0.5385,0.0,C_conservative_meta_aware
2026-07-06,0.625,0.625,0.0,C_conservative_meta_aware
2026-07-07,0.5417,0.5417,0.0,C_conservative_meta_aware
2026-07-08,0.5882,0.5882,0.0,C_conservative_meta_aware
2026-07-09,0.4667,0.6364,0.16969999999999996,C_conservative_meta_aware
2026-07-10,0.375,0.6667,0.29169999999999996,C_conservative_meta_aware
2026-07-11,0.3871,0.5625,0.1754,C_conservative_meta_aware
2026-07-12,0.4615,0.8,0.3385,C_conservative_meta_aware
2026-07-13,0.5556,0.5556,0.0,C_conservative_meta_aware
2026-07-14,0.3571,0.619,0.2619,C_conservative_meta_aware
2026-07-15,0.48,0.48,0.0,C_conservative_meta_aware
2026-07-16,0.4583,0.4583,0.0,C_conservative_meta_aware
2026-07-17,0.3636,0.5417,0.17809999999999998,C_conservative_meta_aware
2026-07-18,0.4167,0.7,0.28329999999999994,C_conservative_meta_aware
2026-07-19,0.4138,0.7895,0.3757,C_conservative_meta_aware
2026-07-20,0.4,0.6364,0.23639999999999994,C_conservative_meta_aware
2026-07-21,0.5806,0.75,0.1694,C_conservative_meta_aware
2026-07-22,0.5,0.625,0.125,C_conservative_meta_aware
2026-07-23,0.4286,0.5238,0.09520000000000006,C_conservative_meta_aware
2026-07-24,0.75,0.9333,0.18330000000000002,C_conservative_meta_aware
2026-07-25,1.0,0.6429,-0.3571,C_conservative_meta_aware
2026-07-26,0.4167,0.551,0.13430000000000003,C_conservative_meta_aware
2026-07-27,0.4359,0.7,0.26409999999999995,C_conservative_meta_aware
2026-07-28,0.5397,0.5714,0.03170000000000006,C_conservative_meta_aware
2026-07-29,0.5254,0.5833,0.05790000000000006,C_conservative_meta_aware
2026-07-30,0.5191,0.5625,0.043399999999999994,C_conservative_meta_aware
2026-07-31,0.514,0.514,0.0,C_conservative_meta_aware
2026-08-01,0.4796,0.5,0.020399999999999974,C_conservative_meta_aware
2026-08-02,0.4405,0.72,0.27949999999999997,C_conservative_meta_aware
2026-08-03,0.4627,0.6957,0.23299999999999998,C_conservative_meta_aware
2026-08-04,0.4426,0.7857,0.34309999999999996,C_conservative_meta_aware
2026-08-05,0.4333,0.5652,0.13190000000000002,C_conservative_meta_aware
2026-08-06,0.4429,0.7222,0.27929999999999994,C_conservative_meta_aware
2026-08-07,0.5263,0.7273,0.20099999999999996,C_conservative_meta_aware
2026-08-08,0.7222,0.7222,0.0,C_conservative_meta_aware
2026-08-09,0.4167,0.5385,0.12179999999999996,C_conservative_meta_aware
2026-08-10,0.4286,0.65,0.22140000000000004,C_conservative_meta_aware
2026-06-20,0.2917,0.2917,0.0,D_counter_aware
2026-06-21,0.4545,0.4545,0.0,D_counter_aware
2026-06-23,0.5882,0.5882,0.0,D_counter_aware
2026-06-24,0.4,0.4,0.0,D_counter_aware
2026-06-26,0.5,0.5,0.0,D_counter_aware
2026-06-30,0.4,0.5,0.09999999999999998,D_counter_aware
2026-07-02,0.3333,0.3333,0.0,D_counter_aware
2026-07-05,0.5385,0.5385,0.0,D_counter_aware
2026-07-06,0.625,0.625,0.0,D_counter_aware
2026-07-07,0.5417,0.5417,0.0,D_counter_aware
2026-07-08,0.5882,0.5882,0.0,D_counter_aware
2026-07-09,0.4667,0.6364,0.16969999999999996,D_counter_aware
2026-07-10,0.375,0.6667,0.29169999999999996,D_counter_aware
2026-07-11,0.3871,0.5625,0.1754,D_counter_aware
2026-07-12,0.4615,0.8,0.3385,D_counter_aware
2026-07-13,0.5556,0.5556,0.0,D_counter_aware
2026-07-14,0.3571,0.619,0.2619,D_counter_aware
2026-07-15,0.48,0.48,0.0,D_counter_aware
2026-07-16,0.4583,0.4583,0.0,D_counter_aware
2026-07-17,0.3636,0.5417,0.17809999999999998,D_counter_aware
2026-07-18,0.4167,0.7,0.28329999999999994,D_counter_aware
2026-07-19,0.4138,0.7895,0.3757,D_counter_aware
2026-07-20,0.4,0.6364,0.23639999999999994,D_counter_aware
2026-07-21,0.5806,0.75,0.1694,D_counter_aware
2026-07-22,0.5,0.625,0.125,D_counter_aware
2026-07-23,0.4286,0.5238,0.09520000000000006,D_counter_aware
2026-07-24,0.75,0.9333,0.18330000000000002,D_counter_aware
2026-07-25,1.0,0.6429,-0.3571,D_counter_aware
2026-07-26,0.4167,0.551,0.13430000000000003,D_counter_aware
2026-07-27,0.4359,0.7,0.26409999999999995,D_counter_aware
2026-07-28,0.5397,0.5714,0.03170000000000006,D_counter_aware
2026-07-29,0.5254,0.5833,0.05790000000000006,D_counter_aware
2026-07-30,0.5191,0.5625,0.043399999999999994,D_counter_aware
2026-07-31,0.514,0.514,0.0,D_counter_aware
2026-08-01,0.4796,0.5,0.020399999999999974,D_counter_aware
2026-08-02,0.4405,0.72,0.27949999999999997,D_counter_aware
2026-08-03,0.4627,0.6957,0.23299999999999998,D_counter_aware
2026-08-04,0.4426,0.7857,0.34309999999999996,D_counter_aware
2026-08-05,0.4333,0.5652,0.13190000000000002,D_counter_aware
2026-08-06,0.4429,0.7222,0.27929999999999994,D_counter_aware
2026-08-07,0.5263,0.7273,0.20099999999999996,D_counter_aware
2026-08-08,0.7222,0.7222,0.0,D_counter_aware
2026-08-09,0.4167,0.5385,0.12179999999999996,D_counter_aware
2026-08-10,0.4286,0.65,0.22140000000000004,D_counter_aware
2026-06-20,0.2917,0.2917,0.0,Counter_Only
2026-06-21,0.4545,0.4545,0.0,Counter_Only
2026-06-23,0.5882,0.5882,0.0,Counter_Only
2026-06-24,0.4,0.4,0.0,Counter_Only
2026-06-26,0.5,0.5,0.0,Counter_Only
2026-06-30,0.4,0.5,0.09999999999999998,Counter_Only
2026-07-02,0.3333,0.3333,0.0,Counter_Only
2026-07-05,0.5385,0.5385,0.0,Counter_Only
2026-07-06,0.625,0.625,0.0,Counter_Only
2026-07-07,0.5417,0.5417,0.0,Counter_Only
2026-07-08,0.5882,0.5882,0.0,Counter_Only
2026-07-09,0.4667,0.6364,0.16969999999999996,Counter_Only
2026-07-10,0.375,0.6667,0.29169999999999996,Counter_Only
2026-07-11,0.3871,0.5625,0.1754,Counter_Only
2026-07-12,0.4615,0.8,0.3385,Counter_Only
2026-07-13,0.5556,0.5556,0.0,Counter_Only
2026-07-14,0.3571,0.619,0.2619,Counter_Only
2026-07-15,0.48,0.48,0.0,Counter_Only
2026-07-16,0.4583,0.4583,0.0,Counter_Only
2026-07-17,0.3636,0.5417,0.17809999999999998,Counter_Only
2026-07-18,0.4167,0.7,0.28329999999999994,Counter_Only
2026-07-19,0.4138,0.7895,0.3757,Counter_Only
2026-07-20,0.4,0.6364,0.23639999999999994,Counter_Only
2026-07-21,0.5806,0.75,0.1694,Counter_Only
2026-07-22,0.5,0.625,0.125,Counter_Only
2026-07-23,0.4286,0.5238,0.09520000000000006,Counter_Only
2026-07-24,0.75,0.9333,0.18330000000000002,Counter_Only
2026-07-25,1.0,0.6429,-0.3571,Counter_Only
2026-07-26,0.4167,0.551,0.13430000000000003,Counter_Only
2026-07-27,0.4359,0.7,0.26409999999999995,Counter_Only
2026-07-28,0.5397,0.5714,0.03170000000000006,Counter_Only
2026-07-29,0.5254,0.5833,0.05790000000000006,Counter_Only
2026-07-30,0.5191,0.5625,0.043399999999999994,Counter_Only
2026-07-31,0.514,0.514,0.0,Counter_Only
2026-08-01,0.4796,0.5,0.020399999999999974,Counter_Only
2026-08-02,0.4405,0.72,0.27949999999999997,Counter_Only
2026-08-03,0.4627,0.6957,0.23299999999999998,Counter_Only
2026-08-04,0.4426,0.7857,0.34309999999999996,Counter_Only
2026-08-05,0.4333,0.5652,0.13190000000000002,Counter_Only
2026-08-06,0.4429,0.7222,0.27929999999999994,Counter_Only
2026-08-07,0.5263,0.7273,0.20099999999999996,Counter_Only
2026-08-08,0.7222,0.7222,0.0,Counter_Only
2026-08-09,0.4167,0.5385,0.12179999999999996,Counter_Only
2026-08-10,0.0,0.65,0.65,Counter_Only
