episode_id,decision_index,turn,select_context_name,n_options,category,chosen_option_types,n_available_attacks,n_chosen_attacks,our_active_id,our_active_hp,our_active_maxhp,our_bench_n,our_prize_n,opp_active_id,opp_active_hp,opp_prize_n,result
92425250,0,,,0,UNKNOWN,,0,0,,,,,,,,,WIN
92425250,1,,,0,UNKNOWN,,0,0,,,,,,,,,WIN
92425250,2,0,SETUP_ACTIVE_POKEMON,2,EARLY_GAME_SETUP,CARD,0,0,,,,0,0,,,0,WIN
92425250,3,0,SETUP_BENCH_POKEMON,1,BENCH_MANAGEMENT,,0,0,,,,0,6,,,6,WIN
92425250,4,2,MAIN,8,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,1,6,1071,170,6,WIN
92425250,5,2,TO_HAND,9,RESOURCE_MANAGEMENT,CARD,0,0,676,110,110,1,6,1071,170,6,WIN
92425250,6,2,MAIN,8,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,1,6,1071,170,6,WIN
92425250,7,2,MAIN,9,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,2,6,1071,170,6,WIN
92425250,8,2,DISCARD,4,RESOURCE_MANAGEMENT,CARD;CARD,0,0,676,110,110,2,6,1071,170,6,WIN
92425250,9,2,TO_HAND,12,RESOURCE_MANAGEMENT,CARD,0,0,676,110,110,2,6,1071,170,6,WIN
92425250,10,2,MAIN,4,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,2,6,1071,170,6,WIN
92425250,11,2,MAIN,3,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,3,6,1071,170,6,WIN
92425250,12,2,MAIN,17,RESOURCE_MANAGEMENT,ABILITY,0,0,676,110,110,3,6,1071,170,6,WIN
92425250,13,2,DISCARD,3,RESOURCE_MANAGEMENT,CARD,0,0,676,110,110,3,6,1071,170,6,WIN
92425250,14,2,MAIN,14,ENERGY_MANAGEMENT,ATTACH,0,0,676,110,110,3,6,1071,170,6,WIN
92425250,15,2,MAIN,6,RESOURCE_MANAGEMENT,PLAY,0,0,676,110,110,3,6,1071,170,6,WIN
