game_id,turn,context,option_count,chosen_types,my_active_hp,opp_active_hp,my_prize_count,opp_prize_count,result
1786510596_f5677d5e_0,0,SETUP_ACTIVE_POKEMON,1,CARD,,,0,0,WIN
1786510596_f5677d5e_0,2,MAIN,4,PLAY,210,210,6,6,WIN
1786510596_f5677d5e_0,2,TO_BENCH,4,CARD;CARD,210,210,6,6,WIN
1786510596_f5677d5e_0,2,MAIN,3,END,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,6,EVOLVE,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,6,ABILITY,210,210,6,6,WIN
1786510596_f5677d5e_0,4,TO_HAND,2,CARD,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,5,PLAY,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,5,ATTACH,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,3,RETREAT,210,210,6,6,WIN
1786510596_f5677d5e_0,4,DISCARD_ENERGY,1,ENERGY,210,210,6,6,WIN
1786510596_f5677d5e_0,4,SWITCH,2,CARD,210,210,6,6,WIN
1786510596_f5677d5e_0,4,MAIN,3,ATTACK,30,210,6,6,WIN
1786510596_f5677d5e_0,6,MAIN,9,EVOLVE,20,30,6,6,WIN
1786510596_f5677d5e_0,6,MAIN,6,PLAY,20,30,6,6,WIN
1786510596_f5677d5e_0,6,MAIN,6,ATTACH,20,30,6,6,WIN
1786510596_f5677d5e_0,6,MAIN,3,ATTACK,20,30,6,6,WIN
1786510596_f5677d5e_0,8,MAIN,4,ATTACK,10,20,6,6,WIN
1786510596_f5677d5e_0,9,TO_ACTIVE,2,CARD,,10,6,5,WIN
1786510596_f5677d5e_0,10,MAIN,7,ABILITY,320,10,6,5,WIN
1786510596_f5677d5e_0,10,MAIN,6,ATTACH,320,10,6,5,WIN
1786510596_f5677d5e_0,10,MAIN,5,PLAY,320,10,6,5,WIN
1786510596_f5677d5e_0,10,SWITCH,4,CARD,320,10,6,5,WIN
1786510596_f5677d5e_0,10,MAIN,4,ATTACK,320,200,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,DAMAGE_COUNTER_ANY,4,CARD,320,0,6,5,WIN
1786510596_f5677d5e_0,10,TO_HAND,6,CARD;CARD,320,,6,5,WIN
1786510596_f5677d5e_0,10,TO_HAND,4,CARD,320,,4,5,WIN
1786510596_f5677d5e_0,12,MAIN,15,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,TO_HAND,4,CARD,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,15,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,15,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,TO_HAND,3,CARD,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,15,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,15,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,DISCARD,11,CARD;CARD,120,320,3,5,WIN
1786510596_f5677d5e_0,12,TO_HAND,3,CARD,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,13,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,MAIN,12,PLAY,120,320,3,5,WIN
1786510596_f5677d5e_0,12,TO_HAND,4,CARD,120,320,3,5,WIN
