episode_id,decision_index,turn,evidence_level,target_removed_via_switch,description
92504801,62,11,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92505737,80,11,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92505737,82,11,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92505737,84,11,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92507587,66,11,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92507587,67,11,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92508800,72,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92508800,74,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92508800,76,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92508800,79,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92510427,40,5,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92510427,41,5,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92510427,43,5,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92514236,12,3,CONFIRMED,False,"[(151, 'Bite', 40)] not chosen"
92518949,38,7,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92518949,41,7,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92518949,43,7,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92518949,44,7,POSSIBLE,True,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92518949,62,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92518949,64,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92518949,66,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92518949,68,9,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
