episode_id,decision_index,turn,result,outcome,our_active_id,our_active_hp,our_active_retreat_cost,our_active_energy_loss_if_retreated,bench_ready_attackers,opp_best_attack_damage
92506655,45,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,47,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,49,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,50,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,53,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,54,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,55,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,56,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,58,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92506655,59,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,1,180
92506655,60,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,1,180
92506655,63,7,WIN,SURVIVED_TO_NEXT_DECISION,121,140,1,1,1,180
92506655,89,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,0,180
92506655,91,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,0,180
92506655,92,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92506655,94,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92506655,95,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92506655,96,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92506655,98,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92506655,101,11,WIN,SURVIVED_TO_NEXT_DECISION,121,50,1,1,1,180
92507587,50,9,WIN,SURVIVED_TO_NEXT_DECISION,121,110,1,1,0,180
92507587,51,9,WIN,SURVIVED_TO_NEXT_DECISION,121,110,1,1,0,180
92507587,52,9,WIN,SURVIVED_TO_NEXT_DECISION,121,110,1,1,0,180
92507587,56,9,WIN,SURVIVED_TO_NEXT_DECISION,121,110,1,1,1,180
92507587,57,9,WIN,SURVIVED_TO_NEXT_DECISION,121,110,1,1,1,180
92507587,88,15,WIN,SURVIVED_TO_NEXT_DECISION,121,80,1,1,0,180
92507587,89,15,WIN,SURVIVED_TO_NEXT_DECISION,121,80,1,1,0,180
92509485,33,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,34,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,35,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,37,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,38,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,40,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,41,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,43,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,44,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
92509485,45,5,LOSS,SURVIVED_TO_NEXT_DECISION,121,140,1,1,0,180
