episode_id,decision_index,turn,evidence_level,target_removed_via_switch,description
92596095,36,6,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,43,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,45,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,46,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,47,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,48,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,51,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,52,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,54,8,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,61,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,63,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,64,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,65,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,66,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,69,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,70,10,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,87,12,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,88,12,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,89,12,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,97,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,99,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,101,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,102,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,103,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,104,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,106,14,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,114,16,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92596095,115,16,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,100,17,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,101,17,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,109,19,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,111,19,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,112,19,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,120,21,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,127,23,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,135,25,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92602706,136,25,POSSIBLE,False,"[(154, 'Phantom Dive', 200)] not chosen (uncertain)"
92607420,107,15,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92607420,109,15,POSSIBLE,True,"[(153, 'Jet Headbutt', 70)] not chosen"
92622488,101,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
92622488,104,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
92622488,105,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
92622488,107,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
92622488,108,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
92622488,110,16,POSSIBLE,True,"[(153, 'Jet Headbutt', 70), (154, 'Phantom Dive', 200)] not chosen (uncertain)"
