episode_id,label,n_turns,went_first,final_prize_margin_positive_means_behind,max_prize_deficit_faced,last3_own_decisions_action_classes,retreat_available_in_last3_decisions,bench_target_available_in_last3_decisions,lost_a_2plus_prize_attacker_this_game,missed_ko_events_this_game,energy_attach_per_turn
92321654,luca,9,True,3,3,?;?;?,False,True,True,0,0.5555555555555556
92312424,luca,7,True,2,2,EVOLVE;ATTACH_ENERGY;ATTACK,True,True,True,0,0.5714285714285714
92267636,luca,12,False,0,0,PLAY_POKEMON;PLAY_ITEM;?,False,True,True,2,0.5
92230327,luca,9,True,0,0,?;?;?,False,True,True,4,0.4444444444444444
92220894,luca,15,True,3,3,?;ATTACH_ENERGY;ATTACK,True,True,False,0,0.26666666666666666
92218051,luca,10,False,0,2,?;?;?,False,True,True,2,0.5
92218110,luca,7,True,4,4,ATTACH_ENERGY;PLAY_ITEM;ATTACK,True,True,True,0,0.7142857142857143
92207476,luca,10,False,5,5,?;?;ATTACH_ENERGY,False,True,True,3,0.4
92206497,luca,6,False,1,1,ABILITY;?;ATTACK,True,True,True,0,0.5
92202781,luca,14,False,-2,0,?;?;?,False,True,True,0,0.35714285714285715
92201815,luca,7,True,0,0,ATTACH_ENERGY;PLAY_SUPPORTER;ATTACK,True,True,True,0,0.5714285714285714
92199848,luca,13,True,1,1,PLAY_ITEM;PLAY_ITEM;ATTACK,True,True,False,0,0.5384615384615384
92192398,luca,10,False,0,1,PLAY_ITEM;?;?,False,True,True,0,0.5
92194266,luca,7,True,1,1,?;PLAY_ITEM;ATTACH_ENERGY,False,False,False,2,0.2857142857142857
92193323,luca,10,False,2,2,RETREAT;?;?,True,True,True,0,0.5
92188860,luca,14,False,5,5,RETREAT;?;?,True,True,True,0,0.14285714285714285
92187730,luca,12,False,3,3,ABILITY;ATTACH_ENERGY;ATTACK,True,True,True,0,0.4166666666666667
92186798,luca,15,True,1,1,?;PLAY_SUPPORTER;ABILITY,False,True,True,0,0.5333333333333333
